Run name,Average_Reward
5000_deep_value_tanh_21,35.3125
5000_deep_value_tanh_21,27.8125
5000_deep_value_tanh_21,23.4375
5000_deep_value_tanh_21,30.625
5000_deep_value_tanh_21,27.1875
5000_baseline_21,16.25
5000_baseline_21,9.0625
5000_baseline_21,10.9375
5000_baseline_21,12.8125
5000_baseline_21,12.5
5000_model_deep_value_21,45.0
5000_model_deep_value_21,38.75
5000_model_deep_value_21,33.125
5000_model_deep_value_21,42.491302490234375
5000_model_deep_value_21,38.125
50000_128steps64_1,6.875
50000_128steps64_1,7.8125
500_256steps_0,8.75
500_256steps_0,5.9375
500_256steps_0,6.875
500_256steps_0,9.375
50000_levels_hard_dvRELU_generatedasset_seed0,0.0
50000_levels_hard_dvRELU_generatedasset_seed0,0.0
50000_levels_hard_dvRELU_generatedasset_seed0,0.0
50000_levels_hard_dvRELU_generatedasset,51.22863006591797
50000_levels_hard_dvRELU_generatedasset,47.8125
50000_levels_hard_dvRELU_generatedasset,44.375
50000_levels_hard_dvRELU_generatedasset,48.75
50000_levels_hard_dvRELU_generatedasset,48.75
5000_256steps32_21,0.9375
5000_256steps32_21,0.625
50000_256steps32_21,52.69121170043945
5000_256steps32_21,1.5625
50000_256steps32_21,49.0011100769043
5000_256steps32_21,2.1875
50000_256steps32_21,43.125
5000_256steps32_21,0.625
50000_256steps32_21,47.8125
50000_256steps32_21,49.6875
50000_model_deep_value_21,25.625
50000_model_deep_value_21,14.0625
50000_model_deep_value_21,19.6875
50000_model_deep_value_21,17.8125
50000_model_deep_value_21,17.5
50000_model_deep_value_ga_91,55.84276580810547
5000_model_deep_value_ga_91,7.5
50000_model_deep_value_ga_91,52.63048553466797
5000_model_deep_value_ga_91,8.125
50000_model_deep_value_ga_91,49.05615997314453
5000_model_deep_value_ga_91,5.9375
50000_model_deep_value_ga_91,56.69282913208008
50000_model_deep_value_91,53.283607482910156
5000_model_deep_value_ga_91,7.5
50000_model_deep_value_ga_91,54.10785675048828
50000_model_deep_value_91,48.4244384765625
5000_model_deep_value_ga_91,5.9375
50000_model_deep_value_91,40.9375
50000_model_deep_value_91,47.7754898071289
50000_model_deep_value_91,50.30326461791992
5000_tanh_21,33.125
5000_tanh_21,34.6875
5000_tanh_21,27.8125
5000_tanh_21,35.0
5000_tanh_21,33.125
5000_model_relu_reg_true_21,14.6875
5000_model_relu_reg_true_21,11.875
5000_model_relu_reg_true_21,10.0
5000_model_relu_reg_true_21,15.3125
5000_model_relu_reg_true_21,12.1875
seed_21/50_GA_DV,8.125
seed_21/500_GA_DV,0.3125
seed_21/5000_GA_DV,0.9375
seed_21/50000_GA_DV,52.69121170043945
seed_21/50_GA_DV,6.25
seed_21/50000_GA_DV,49.0011100769043
seed_21/500_GA_DV,1.25
seed_21/5000_GA_DV,0.625
seed_21/50_GA_DV,5.625
seed_21/50000_GA_DV,43.125
seed_21/500_GA_DV,1.5625
seed_21/5000_GA_DV,1.5625
seed_21/50_GA_DV,7.5
seed_21/50000_GA_DV,47.8125
seed_21/500_GA_DV,2.1875
seed_21/5000_GA_DV,2.1875
seed_21/50_GA_DV,7.1875
seed_21/50000_GA_DV,49.6875
seed_21/500_GA_DV,0.9375
seed_21/5000_GA_DV,0.625
seed_91/50_model_deep_value_91,18.75
seed_91/500_model_deep_value_91,48.125
seed_91/5000_model_deep_value_91,39.375
seed_91/50_model_deep_value_91,20.0
seed_91/500_model_deep_value_91,29.375
seed_91/5000_model_deep_value_91,28.75
seed_91/50_model_deep_value_91,15.0
seed_91/500_model_deep_value_91,35.625
seed_91/5000_model_deep_value_91,34.6875
seed_91/50_model_deep_value_91,20.9375
seed_91/500_model_deep_value_91,38.125
seed_91/5000_model_deep_value_91,30.0
seed_91/50_model_deep_value_91,20.9375
seed_91/500_model_deep_value_91,37.8125
seed_91/5000_model_deep_value_91,27.1875
50000_model_deep_value_ga_bg_91,53.6304817199707
50000_model_deep_value_ga_bg_91,49.372764587402344
50000_model_deep_value_ga_bg_91,44.6875
50000_model_deep_value_ga_bg_91,49.68576431274414
50000_model_deep_value_ga_bg_91,49.35879135131836
500000_model_deep_value_128_91,7.1875
500000_model_deep_value_128_91,5.3125
500000_model_deep_value_128_91,4.375
500000_model_deep_value_128_91,7.5
500000_model_deep_value_128_91,5.625
500000_model_deep_value_128_91,10.625
500000_model_deep_value_128_91,10.9375
50000_model_deep_value_128_91,9.375
500000_model_deep_value_128_91,8.75
50000_model_deep_value_128_91,7.5
500000_model_deep_value_128_91,10.9375
50000_model_deep_value_128_91,6.25
500000_model_deep_value_128_91,10.9375
50000_model_deep_value_128_91,9.6875
50000_model_deep_value_128_91,7.5
500000_model_deep_value_128_91,13.125
500000_model_deep_value_128_91,11.25
500000_model_deep_value_128_91,9.375
500000_model_deep_value_128_91,12.5
500000_model_deep_value_128_91,11.875
